Month;Phase;Site;Section;Poecilia_vivipara;Astyanax_bimaculatus;Cichlasoma_orientale;Serrapinnus_heterodon;Oreochromis_niloticus;Hoplias_malabaricus;Steindachnerina_notonota;Phenacogaster_calverti;Compsura_heterura;Astyanax_fasciatus;Serrapinnus_piaba;Hemigrammus_spp;Prochilodus_brevis;Hypostomus_spp;Trachelyopterus_galeatus;Crenicichla_menezesi;Characidum_bimaculatum;Leporinus_piau;Parotocinclus_cearensis
jun_2018;flowing;S1;0_50;0;4.43253E-05;9.74183E-07;6.33219E-06;0;1.46127E-06;9.74183E-07;5.8451E-06;1.46127E-06;0;4.87092E-07;3.89673E-06;4.38382E-05;0;0;9.74183E-07;0;0;0
jun_2018;flowing;S1;0_50;1.6074E-05;1.46127E-05;0;2.43546E-06;0;9.74183E-07;0;0;4.87092E-07;0;0;0;4.87092E-07;0;0;0;0;0;0
jun_2018;flowing;S1;0_50;1.46127E-06;7.79347E-06;0;1.02289E-05;0;0;9.74183E-07;2.92255E-06;9.74183E-07;4.87092E-07;0;6.81928E-06;1.99708E-05;0;0;0;0;0;0
jun_2018;flowing;S1;50_100;0;4.38382E-06;0;3.40964E-06;0;4.87092E-07;3.89673E-06;2.92255E-06;0;4.87092E-07;0;3.89673E-06;8.76765E-06;0;0;0;0;0;0
jun_2018;flowing;S1;50_100;0;2.92255E-06;9.74183E-07;2.43546E-06;0;9.74183E-07;1.94837E-06;9.74183E-07;4.87092E-07;0;0;4.87092E-06;1.02289E-05;0;0;4.87092E-07;0;0;0
jun_2018;flowing;S1;50_100;1.46127E-06;1.02289E-05;9.74183E-07;1.12031E-05;4.87092E-07;9.74183E-07;3.40964E-06;4.38382E-06;4.87092E-07;9.74183E-07;0;1.12031E-05;1.70482E-05;0;0;0;0;0;0
jun_2018;flowing;S1;100_150;0;2.92255E-06;1.94837E-06;4.87092E-07;0;4.87092E-07;0;2.43546E-06;4.87092E-07;0;0;0;0;0;0;0;0;0;0
jun_2018;flowing;S1;100_150;0;1.46127E-06;0;4.87092E-07;0;9.74183E-07;0;0;0;4.87092E-07;0;0;0;0;4.87092E-07;0;0;0;0
jun_2018;flowing;S1;100_150;0;0;4.87092E-07;1.46127E-06;0;1.94837E-06;0;0;0;4.87092E-07;0;4.87092E-07;1.94837E-06;0;0;0;0;0;0
jun_2018;flowing;S1;150_200;0;2.43546E-06;4.87092E-07;1.46127E-06;0;4.87092E-07;4.87092E-07;0;9.74183E-07;4.87092E-07;4.87092E-07;1.46127E-06;0;0;0;0;0;0;0
