taxa;g_collector;shredders;scrapers;f_collector;predator;tegument;gill;plastron;spiracle;flier;swimmer;crawler;burrower;temp_sta;hydrodynamic;flattened;cylindrical;spherical;long;short;very_short;eggs;diapause;cocoons;body_armouring;none
c_dytiscidae;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0
c_elmidae;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0
c_gyrinidae;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0
c_hydraenidae;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0
c_hydrochidae;0;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0
c_hydrophilidae;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0
c_noteridae;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0
c_scirtidae;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0
d_ceratopogonidae;1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0
d_chaoboridae;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
d_chironomidae;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0;0
d_culicidae;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0
d_dixidae;1;0;1;1;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0
d_ephydridae;1;1;1;1;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0
d_psychodidae;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0
d_stratiomyidae;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0
d_tipulidae;1;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0
e_baetidae;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0
e_caenidae;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0
e_ephemeridae;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0
e_euthyplociidae;1;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1
e_leptohyphidae;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0
e_leptophlebiidae;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0
e_oligoneuriidae;1;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0
e_polymitarcydae;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0
h_belostomatidae;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0
h_corixidae;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0
h_gerridae;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0
